Ai,2015,2016,2017,2018,2019,2020,AVERAGE,SWARA
A1,5,6,6,6,6,6,6,6
A2,23,20,19,21,21,18,21,21
A3,29,30,30,30,30,30,30,30
A4,12,14,15,13,12,12,13,13
A5,30,29,29,29,29,29,29,29
A6,16,16,14,16,16,13,16,15
A7,6,4,5,5,5,4,5,5
A8,11,11,12,8,8,7,8,8
A9,4,5,4,4,4,5,4,4
A10,10,10,11,14,15,15,14,14
A11,9,9,10,11,10,14,11,12
A12,27,28,28,27,26,26,27,26
A13,21,21,21,24,25,23,24,24
A14,2,2,2,2,2,2,2,2
A15,14,12,8,9,9,9,10,9
A16,18,18,20,20,19,20,20,19
A17,7,8,7,7,7,8,7,7
A18,26,26,27,28,28,27,26,27
A19,8,7,9,10,13,10,9,10
A20,28,27,26,26,27,28,28,28
A21,22,23,22,17,17,17,19,18
A22,1,1,1,1,1,1,1,1
A23,24,25,25,22,23,21,23,22
A24,15,15,16,19,20,19,17,17
A25,17,19,18,18,18,22,18,20
A26,20,24,24,25,24,24,25,25
A27,13,13,13,12,11,11,12,11
A28,25,22,23,23,22,25,22,23
A29,3,3,3,3,3,3,3,3
A30,19,17,17,15,14,16,15,16
