Ai,2015,2016,2017,2018,2019,2020,AVERAGE,SWARA
A1,0.5446286181532783,0.5643106989541032,0.5768412729707583,0.5870167308776533,0.5879617800105671,0.6026052797474295,0.5776457138809358,0.5318339752037315
A2,0.7605254762054174,0.7414556152403461,0.7424926200513187,0.7592572583528049,0.7538609125513636,0.7534099418500032,0.7500206383327936,0.7995758487803575
A3,0.8606204318358246,0.8634983301442075,0.865750728585656,0.8822822001090819,0.8779886384078941,0.8802800151429084,0.8861585515168442,0.9999619308501877
A4,0.7045415831752315,0.721168116748084,0.7261964336279403,0.7095566837764868,0.6973882328628266,0.7061683649674365,0.6989914949600711,0.7266901720928869
A5,0.8610617014496785,0.8501580080866209,0.8506260162523197,0.8377994682855284,0.8446476321372373,0.8459041057128396,0.8479589790507103,0.9508492958631204
A6,0.7264278959765381,0.724228084370152,0.7210454128273293,0.7311375564372936,0.7277696026211791,0.7307852463702235,0.7278223745954822,0.759949752191498
A7,0.5624090640979269,0.5630733572032585,0.5549733826656689,0.5530843200463533,0.5445867180355202,0.5651328548913427,0.5460350454376058,0.48164483639695355
A8,0.699295943332996,0.6981275011077389,0.702385067593738,0.6644475463715351,0.650269315723106,0.6421570725044965,0.6592346266376554,0.6513740021961805
A9,0.44890230838067224,0.5641651594075382,0.488042741629018,0.5507978417859731,0.5418416765358426,0.5665568609706825,0.5431722075048767,0.45945605044772087
A10,0.6976488806925362,0.6963222526059245,0.6947179289136349,0.7117840037642684,0.7190026892569262,0.7352676791345474,0.7120515020406071,0.7436088463480552
A11,0.6973507110809859,0.6956523221343367,0.6934315479264377,0.6943108771266058,0.6914879740767781,0.7325406457741322,0.697934911294227,0.7265317088015688
A12,0.8388429513459333,0.8438871768313014,0.8218262269153346,0.8246176816879489,0.80398032788466,0.8081023976684392,0.8230987530458207,0.9016901849228761
A13,0.7547190600481503,0.7529449931175024,0.7480887779887629,0.771467409655122,0.7754681960320639,0.7698510030405868,0.7683675799073876,0.8226974913457137
A14,0.36898159572282135,0.36806084341665785,0.3786171388455552,0.33735600924379305,0.3275155016296909,0.33511805270006606,0.33157617242405246,0.13378343669469397
A15,0.7135289663266695,0.7077615419481028,0.6813347477173671,0.67982765652953,0.6785073897507887,0.6766979350296444,0.6846482988870186,0.6854258673448088
A16,0.7348225296237387,0.7347775127580269,0.7425417106600648,0.7557427262526978,0.7450973627754114,0.7615571851140309,0.7484884718566709,0.7970940664125459
A17,0.6737799959059977,0.6826972641337707,0.6769119563961965,0.6482801911091666,0.6491516705522136,0.6588758159433881,0.6553458237968608,0.6480203795284145
A18,0.8008976709056612,0.8087683094104015,0.810701973245676,0.830295301674439,0.8357550966910944,0.8282825640704256,0.821821574258326,0.9177345352145923
A19,0.680553242160341,0.6819340125520031,0.6820539667380225,0.6920945104799251,0.6979059706941098,0.686475353887235,0.6814169317364207,0.6959643182590336
A20,0.8579208206303703,0.8264088478681412,0.8065691853830544,0.8197647604829307,0.8264147431355453,0.835433097928963,0.835180764035116,0.9219965941464991
A21,0.7565047493018097,0.7563124479907267,0.7482921845883304,0.7440044039611595,0.7428561343570437,0.7470684974372911,0.7467058144544498,0.7900892113573573
A22,0.303286530846938,0.2788087756830943,0.2475686708251575,0.2669300198060632,0.24057678922175846,0.26368872295978374,0.2512927296601186,0.0
A23,0.7709572097724671,0.7818988951791156,0.7796814876920625,0.7592776948621499,0.7582507840284353,0.7629249715456438,0.768315041095612,0.8193040420602111
A24,0.71741431961641,0.7224182854680394,0.7275088093750824,0.7448505268956193,0.7468461191192689,0.7580986354026814,0.7420289456663722,0.7871775335843614
A25,0.7343665867226347,0.7405699988505984,0.7340566318891092,0.7444910397582746,0.7445030482504849,0.7685731146621788,0.7457858328366764,0.7972448715455402
A26,0.74947639965535,0.7587583854707786,0.7623633928485185,0.7794878100745022,0.7700021574108573,0.7704619268944491,0.770648392530866,0.8258527666954263
A27,0.7097793438932283,0.7204710299248468,0.7180208943857681,0.705172170081837,0.6972483835184179,0.7050968586405518,0.6984972157111637,0.7237784561176196
A28,0.7781804446314515,0.7547642965959863,0.7488286934645974,0.7607500567007768,0.7552324250703717,0.7812430169683762,0.7590171513478482,0.8212646758140398
A29,0.4015306449432223,0.3985127702220128,0.3903192288130063,0.46532070646196133,0.45614418467237733,0.49020009121771246,0.4626815509856189,0.3172402228821833
A30,0.7464345573881387,0.7333318600915327,0.7337009400231985,0.7226203000458613,0.717081010581847,0.7383359424168924,0.7268189359418673,0.7631580535961178
